,count,integer_1,integer_2,name_1,name_2
447,417,1633246,43273597,Dangan Ronpa - All Media Types,Dangan Ronpa Another Episode: Ultra Despair Girls
448,380,10861009,11902568,Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School,New Dangan Ronpa V3: Everyone's New Semester of Killing
449,678,10861009,14988696,Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School,Dangan Ronpa: Trigger Happy Havoc
450,126,10861009,43273597,Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School,Dangan Ronpa Another Episode: Ultra Despair Girls
451,1271,11902568,14988696,New Dangan Ronpa V3: Everyone's New Semester of Killing,Dangan Ronpa: Trigger Happy Havoc
452,142,11902568,43273597,New Dangan Ronpa V3: Everyone's New Semester of Killing,Dangan Ronpa Another Episode: Ultra Despair Girls
453,222,14988696,43273597,Dangan Ronpa: Trigger Happy Havoc,Dangan Ronpa Another Episode: Ultra Despair Girls
454,142,796047,23599229,Love Live! School Idol Project,Love Live! School Idol Festival ALL STARS (Video Game)
455,4124,390,82576,DCU,Batman (Comics)
456,375,390,419088,DCU,Batman and Robin (Comics)
457,6056,390,969647,DCU,DCU (Comics)
458,1256,82576,419088,Batman (Comics),Batman and Robin (Comics)
459,7131,82576,969647,Batman (Comics),DCU (Comics)
460,571,419088,969647,Batman and Robin (Comics),DCU (Comics)
463,3779,13907,289604,Marvel 616,Marvel (Comics)
467,140,133185,226657,Sherlock (TV),Iron Man (Movies)
468,522,133185,414093,Sherlock (TV),Marvel Cinematic Universe
470,118,133185,586439,Sherlock (TV),Captain America (Movies)
471,27519,226657,414093,Iron Man (Movies),Marvel Cinematic Universe
472,1699,226657,578887,Iron Man (Movies),Captain America - All Media Types
473,12349,226657,586439,Iron Man (Movies),Captain America (Movies)
474,9671,414093,578887,Marvel Cinematic Universe,Captain America - All Media Types
475,11545,578887,586439,Captain America - All Media Types,Captain America (Movies)
477,346,451725,451754,Sonic the Hedgehog - All Media Types,Sonic the Hedgehog (Archie Comic)
479,326,136512,26348036,Harry Potter - J. K. Rowling,Harry Potter: Hogwarts Mystery (Video Game)
480,177,218280,254632,Video Blogging RPF,Minecraft - Fandom
481,227,15397413,42457414,約束のネバーランド | Yakusoku no Neverland | The Promised Neverland (Manga),約束のネバーランド | Yakusoku no Neverland | The Promised Neverland (Anime)
486,3462,7266,226657,Marvel,Iron Man (Movies)
487,6106,226657,727114,Iron Man (Movies),The Avengers (Marvel) - All Media Types
493,346,239605,798659,Inazuma Eleven,Inazuma Eleven GO
494,142,30969,231679,Yes Minister,Yes Prime Minister
495,1916,30349,250093,X-Men (Comicverse),X-Men - All Media Types
496,170,951,136512,NCIS,Harry Potter - J. K. Rowling
498,300,136512,289943,Harry Potter - J. K. Rowling,Twilight Series - All Media Types
500,317,31065,31108,Fantastic Four (Comicverse),Spider-Man (Comicverse)
503,2956,741433,741444,The Lord of the Rings - All Media Types,The Lord of the Rings (Movies)
504,530,7266,15766,Marvel,Captain America
505,827,7266,643028,Marvel,MCU
507,142,15766,643028,Captain America,MCU
517,629,29577,6048501,Star Wars Prequel Trilogy,Star Wars Sequel Trilogy
518,319,747342,6048501,Star Wars: The Clone Wars (2008) - All Media Types,Star Wars Sequel Trilogy
520,532,550814,1356851,EXO (Band),GOT7
929,768,7266,484757,Marvel,Hawkeye (Comics)
930,1876,414093,484757,Marvel Cinematic Universe,Hawkeye (Comics)
931,1453,484757,727114,Hawkeye (Comics),The Avengers (Marvel) - All Media Types
932,9030,115613,224545,Percy Jackson and the Olympians - Rick Riordan,The Heroes of Olympus - Rick Riordan
934,1819,115613,7857352,Percy Jackson and the Olympians - Rick Riordan,The Trials of Apollo - Rick Riordan
936,1870,224545,7857352,The Heroes of Olympus - Rick Riordan,The Trials of Apollo - Rick Riordan
939,3145,7266,578887,Marvel,Captain America - All Media Types
940,266,7266,1710265,Marvel,Bucky Barnes - Fandom
941,333,414093,1710265,Marvel Cinematic Universe,Bucky Barnes - Fandom
942,8123,578887,727114,Captain America - All Media Types,The Avengers (Marvel) - All Media Types
944,8265,586439,727114,Captain America (Movies),The Avengers (Marvel) - All Media Types
945,167,586439,1710265,Captain America (Movies),Bucky Barnes - Fandom
947,135,136512,824702,Harry Potter - J. K. Rowling,Fullmetal Alchemist: Brotherhood & Manga
948,175,136512,2954180,Harry Potter - J. K. Rowling,Fullmetal Alchemist - All Media Types
949,3970,824702,2954180,Fullmetal Alchemist: Brotherhood & Manga,Fullmetal Alchemist - All Media Types
950,569,1064218,22297050,Teenage Mutant Ninja Turtles - All Media Types,Rise of the Teenage Mutant Ninja Turtles (Cartoon 2018)
